Date,Price,Open,High,Low,Vol.,Change %,Type
10/24/2018,72.79,72.79,72.95,72.95,,0.62%,Iron Ore Fines 62%
10/23/2018,72.34,72.34,72.4,72.4,,-0.01%,Iron Ore Fines 62%
10/22/2018,72.35,72.35,72.6,72.0,,0.64%,Iron Ore Fines 62%
10/19/2018,71.89,71.89,72.05,71.15,,-0.36%,Iron Ore Fines 62%
10/18/2018,72.15,72.15,72.5,71.3,,-0.29%,Iron Ore Fines 62%
10/17/2018,72.36,72.36,72.2,70.8,,2.22%,Iron Ore Fines 62%
10/16/2018,70.79,70.79,70.9,70.0,,0.03%,Iron Ore Fines 62%
10/15/2018,70.77,70.77,70.9,70.65,,0.30%,Iron Ore Fines 62%
10/12/2018,70.56,70.56,70.9,69.75,,0.36%,Iron Ore Fines 62%
10/11/2018,70.31,70.31,70.85,69.45,,-0.41%,Iron Ore Fines 62%
10/10/2018,70.6,70.6,70.65,69.9,,1.15%,Iron Ore Fines 62%
10/09/2018,69.8,69.8,69.9,69.2,,1.41%,Iron Ore Fines 62%
10/08/2018,68.83,68.83,69.05,68.15,,-0.32%,Iron Ore Fines 62%
10/05/2018,69.05,69.05,69.3,68.7,,-0.07%,Iron Ore Fines 62%
10/04/2018,69.1,69.1,69.2,68.4,,0.23%,Iron Ore Fines 62%
10/03/2018,68.94,68.94,69.0,68.6,,0.26%,Iron Ore Fines 62%
10/02/2018,68.76,68.76,69.0,67.65,,0.35%,Iron Ore Fines 62%
10/01/2018,68.52,68.52,68.6,67.7,,-0.31%,Iron Ore Fines 62%
09/28/2018,68.73,68.73,68.73,68.73,,0.16%,Iron Ore Fines 62%
09/27/2018,68.62,68.62,68.62,68.62,,0.01%,Iron Ore Fines 62%
09/26/2018,68.61,68.61,68.8,68.75,,0.15%,Iron Ore Fines 62%
09/25/2018,68.51,68.51,68.51,68.51,,-0.51%,Iron Ore Fines 62%
09/24/2018,68.86,68.86,68.9,68.75,,-0.04%,Iron Ore Fines 62%
09/21/2018,68.89,68.89,68.95,68.85,,0.01%,Iron Ore Fines 62%
09/20/2018,68.88,68.88,68.88,68.88,,-0.16%,Iron Ore Fines 62%
09/19/2018,68.99,68.99,69.15,69.0,,0.17%,Iron Ore Fines 62%
09/18/2018,68.87,68.87,69.0,68.6,,0.00%,Iron Ore Fines 62%
09/17/2018,68.87,68.87,68.95,68.5,,0.25%,Iron Ore Fines 62%
09/14/2018,68.7,68.7,68.8,68.5,,0.20%,Iron Ore Fines 62%
09/13/2018,68.56,68.56,68.65,67.75,,0.81%,Iron Ore Fines 62%
09/12/2018,68.01,68.01,68.25,67.1,,0.34%,Iron Ore Fines 62%
09/11/2018,67.78,67.78,68.4,67.45,,-0.86%,Iron Ore Fines 62%
09/10/2018,68.37,68.37,68.5,68.0,,0.22%,Iron Ore Fines 62%
09/07/2018,68.22,68.22,68.6,67.25,,-0.07%,Iron Ore Fines 62%
09/06/2018,68.27,68.27,68.5,66.95,,2.14%,Iron Ore Fines 62%
