Date,Price,Open,High,Low,Vol.,Change %,Type
07/12/2022,397.5,400.0,400.0,396.0,0.03K,1.92%,Rotterdam Coal
07/11/2022,390.0,390.0,390.0,390.0,0.03K,0.28%,Rotterdam Coal
07/08/2022,388.9,388.9,388.9,388.9,,1.01%,Rotterdam Coal
07/07/2022,385.0,384.6,387.0,384.6,0.03K,0.06%,Rotterdam Coal
07/06/2022,384.75,377.0,377.0,377.0,0.06K,1.25%,Rotterdam Coal
07/05/2022,380.0,385.0,385.0,380.0,0.05K,1.06%,Rotterdam Coal
07/04/2022,376.0,372.0,375.0,372.0,0.09K,1.90%,Rotterdam Coal
07/01/2022,369.0,374.0,374.0,367.0,0.02K,-0.27%,Rotterdam Coal
06/30/2022,370.0,370.0,372.0,369.0,0.10K,1.44%,Rotterdam Coal
06/29/2022,364.75,370.0,372.0,364.5,0.22K,-0.48%,Rotterdam Coal
06/28/2022,366.5,361.5,369.0,360.0,0.15K,-1.48%,Rotterdam Coal
06/27/2022,372.0,375.0,375.0,370.0,0.46K,6.87%,Rotterdam Coal
06/24/2022,348.1,370.0,370.0,370.0,,-0.54%,Rotterdam Coal
06/23/2022,350.0,350.0,350.0,350.0,0.01K,1.30%,Rotterdam Coal
06/22/2022,345.5,345.0,345.0,345.0,0.00K,0.00%,Rotterdam Coal
06/21/2022,345.5,345.5,345.5,345.5,,0.04%,Rotterdam Coal
06/20/2022,345.35,343.0,345.0,343.0,0.04K,3.09%,Rotterdam Coal
06/17/2022,335.0,333.0,335.0,333.0,0.00K,1.32%,Rotterdam Coal
06/16/2022,330.65,330.65,330.65,330.65,,-0.54%,Rotterdam Coal
06/15/2022,332.45,326.0,330.0,326.0,0.03K,2.93%,Rotterdam Coal
06/14/2022,323.0,320.0,322.0,320.0,0.05K,1.84%,Rotterdam Coal
06/13/2022,317.15,317.15,317.15,317.15,,-0.11%,Rotterdam Coal
06/10/2022,317.5,327.7,327.7,317.75,0.09K,-1.70%,Rotterdam Coal
06/09/2022,323.0,330.0,335.5,323.5,0.08K,-2.12%,Rotterdam Coal
