統計期,總計,汽車,大客車,大客車 /自用,大客車 /營業,大客車 /營業 /遊覽車,大客車 /營業 /營業（不含遊覽車）,大貨車,大貨車 /自用,大貨車 /營業,小客車,小客車 /自用,小客車 /營業,小客車 /營業 /租賃,小客車 /營業 /計程車,小客車 /營業 /其他營業小客車,小貨車,小貨車 /自用,小貨車 /營業,小貨車 /營業 /租賃,小貨車 /營業 /營業（不含租賃）,特種車,警備車,救護車,消防車,郵車,其他,機車,機車重型,大型重型,大型重型550cc以上,大型重型未滿550cc,普通重型,機車輕型,小型輕型,普通輕型
109年 4月,97307,30821,58,10,48,25,23,740,354,386,26035,22511,3524,2547,977,,3714,2812,902,542,360,274,11,18,2,,243,66486,65270,2017,715,1302,63253,1216,,1216
109年 5月,102769,33528,66,7,59,26,33,809,391,418,28324,25167,3157,2557,600,,4030,3116,914,616,298,299,22,16,10,,251,69241,68077,1801,687,1114,66276,1164,,1164
109年 6月,122224,41385,163,9,154,92,62,815,379,436,36018,31597,4421,3589,832,,4057,3005,1052,662,390,332,14,17,8,,293,80839,79216,2474,1221,1253,76742,1623,,1623
109年 7月,140439,43933,151,15,136,102,34,1018,551,467,38885,34759,4126,3259,867,,3610,2987,623,492,131,269,16,12,12,,229,96506,94441,2471,999,1472,91970,2065,,2065
109年 8月,119038,34844,118,9,109,87,22,832,407,425,30739,27456,3283,2897,386,,2935,2481,454,382,72,220,17,8,2,,193,84194,82515,1843,748,1095,80672,1679,,1679
109年 9月,140953,37238,134,5,129,106,23,1023,517,506,31772,28157,3615,3308,307,,3938,3249,689,648,41,371,14,14,6,,337,103715,101377,2260,886,1374,99117,2338,1,2337
109年 10月,137702,39791,92,8,84,48,36,827,407,420,34274,30847,3427,3018,409,,4085,3248,837,697,140,513,5,10,17,140,341,97911,95320,1591,753,838,93729,2591,3,2588
109年 11月,155062,46330,47,5,42,35,7,854,434,420,40780,37096,3684,3141,543,,4183,3527,656,590,66,466,6,10,9,78,363,108732,106950,1587,749,838,105363,1782,2,1780
109年 12月,187081,45500,114,12,102,25,77,786,486,300,40055,36559,3496,3068,428,,4023,3241,782,693,89,522,2,33,32,115,340,141581,139455,1885,617,1268,137570,2126,8,2118
110年 1月,103646,51177,160,3,157,124,33,919,414,505,44934,40064,4870,4183,687,,4855,4002,853,676,177,309,3,8,10,,288,52469,52393,1022,310,712,51371,76,3,73
