統計期,汽車,大客車 /自用,大客車 /營業,大客車 /營業 /遊覽車,大貨車 /自用,大貨車 /營業,小客車 /自用,小客車 /營業,小客車 /營業 /租賃,小客車 /營業 /計程車,小客車 /營業 /其他營業小客車,小貨車 /自用,小貨車 /營業,小貨車 /營業 /租賃,警備車,救護車,消防車,郵車,其他
105年 11月底,7832573,1651,32850,17219,95664,71086,6443457,213119,126013,87106,,872657,38710,24081,1910,2154,2934,2917,53464
105年 12月底,7842423,1651,32880,17217,95772,71171,6453083,212923,125954,86969,,872709,38815,24005,1896,2174,2940,2899,53510
106年 1月底,7857695,1643,32860,17203,95826,71122,6466125,214902,127944,86958,,872924,38916,24020,1894,2180,2941,2876,53486
106年 2月底,7856677,1641,32770,17059,95847,71072,6465623,214227,127584,86643,,873273,38947,24019,1888,2173,2933,2870,53413
106年 3月底,7865347,1640,32768,17040,96009,71233,6473000,214094,127426,86668,,874318,38985,24032,1880,2167,2932,2850,53471
106年 4月底,7870102,1630,32797,17084,96097,71330,6475503,215249,128497,86752,,874981,39156,24112,1877,2158,2928,2845,53551
106年 5月底,7880915,1628,32860,17098,96197,71480,6483929,216036,129114,86922,,875739,39387,24155,1875,2168,2928,2842,53846
106年 6月底,7891883,1633,32880,17084,96368,71587,6492246,217333,130320,87013,,876259,39582,24131,1877,2157,2928,2836,54197
106年 7月底,7903653,1635,32890,17081,96432,71627,6501976,218577,131509,87068,,876521,39731,24071,1880,2168,2939,2834,54443
106年 8月底,7909284,1648,32825,16961,96533,71551,6506220,219393,132222,87171,,876641,39877,24044,1876,2180,2930,2831,54779
106年 9月底,7917688,1645,32744,16869,96583,71090,6513990,219747,132448,87299,,877397,39950,23986,1874,2179,2932,2823,54734
106年 10月底,7926821,1649,32668,16779,96607,70776,6522593,219979,132568,87411,,878033,40008,23989,1877,2173,2949,2829,54680
106年 11月底,7939739,1653,32568,16700,96601,70493,6534656,220366,132872,87494,,878657,40086,23992,1848,2175,2967,2894,54775
106年 12月底,7948783,1650,32538,16648,96685,70403,6542685,220737,133133,87604,,879034,40260,24095,1851,2179,2989,2911,54861
107年 1月底,7961270,1643,32423,16599,96514,70151,6554124,221959,134228,87731,,879571,40263,23934,1852,2149,2955,2883,54783
107年 2月底,7964827,1645,32412,16602,96528,69993,6557020,222446,134650,87796,,879796,40384,24050,1846,2147,2948,2878,54784
107年 3月底,7970145,1648,32433,16576,96407,69859,6561077,223006,135129,87877,,880618,40518,24021,1846,2142,2933,2864,54794
107年 4月底,7972738,1642,32423,16583,96326,69828,6562719,223605,135735,87870,,881122,40557,24077,1841,2136,2932,2850,54757
107年 5月底,7980568,1632,32425,16584,96270,69871,6569004,224136,136191,87945,,882029,40575,24030,1840,2136,2922,2839,54889
107年 6月底,7993240,1630,32367,16527,96291,69892,6578869,225954,137989,87965,,882875,40644,24036,1850,2138,2918,2837,54975
107年 7月底,8004065,1638,32323,16474,96196,69810,6588343,226929,138974,87955,,883227,40585,24010,1854,2129,2908,2830,55293
107年 8月底,8003351,1643,32261,16421,96083,69584,6588082,226455,138572,87883,,883433,40540,23934,1866,2135,2895,3006,55368
107年 9月底,8010799,1632,32213,16388,96081,69519,6593900,227076,139208,87868,,884276,40881,24142,1858,2141,2897,3000,55325
107年 10月底,8017366,1629,32246,16375,95988,69368,6600111,227181,139372,87809,,884864,40750,23891,1858,2149,2898,3041,55283
107年 11月底,8026771,1640,32228,16323,95715,69021,6608779,227816,140073,87743,,885313,40973,23975,1848,2146,2921,3056,55315
107年 12月底,8035720,1622,32255,16289,95665,68996,6617429,228282,140597,87685,,885166,40962,23861,1842,2145,2924,3064,55368
108年 1月底,8044503,1615,32244,16331,95770,69131,6624024,229683,142071,87612,,885689,41154,23906,1834,2127,2906,3038,55288
108年 2月底,8042165,1602,32270,16339,95783,69199,6621548,229662,142171,87491,,885771,41166,23912,1837,2118,2909,3030,55270
108年 3月底,8046128,1598,32253,16362,95857,69368,6624252,230225,142805,87420,,886405,41018,23971,1855,2113,2909,3028,55247
108年 4月底,8049326,1598,32286,16395,95976,69626,6626351,230085,142685,87400,,887238,41077,23988,1852,2103,2900,3022,55212
108年 5月底,8059287,1601,32335,16394,96143,69760,6634089,231177,143856,87321,,888135,41035,23967,1842,2094,2885,3002,55189
108年 6月底,8070280,1606,32340,16394,96241,69781,6642726,232321,145081,87240,,888880,41197,24033,1853,2083,2881,3000,55371
108年 7月底,8081375,1614,32239,16357,96176,69264,6652895,232897,145662,87235,,889360,41403,24134,1855,2083,2883,3179,55527
108年 8月底,8080860,1605,32102,16274,96176,69217,6652939,232300,145270,87030,,889567,41349,24081,1859,2108,2878,3180,55580
108年 9月底,8087404,1595,32003,16203,96278,69282,6658545,232240,145174,87066,,890266,41416,24163,1869,2107,2884,3211,55708
108年 10月底,8098010,1596,31926,16120,96267,69331,6667444,232748,145251,87497,,891159,41558,24279,1909,2116,2904,3213,55839
108年 11月底,8110970,1588,31807,16008,96224,69404,6679003,233101,143174,89927,,891970,41748,24412,1861,2134,2910,3183,56037
108年 12月底,8118885,1570,31718,15851,96119,69561,6685641,233615,141717,91898,,892277,42179,24734,1850,2171,2895,3218,56071
109年 1月底,8119056,1562,31659,15765,96029,69504,6686565,234013,141677,92336,,891712,41952,24565,1842,2172,2882,3160,56004
109年 2月底,8127165,1564,31674,15779,96081,69819,6692748,233484,140819,92665,,893424,42229,24705,1841,2171,2884,3141,56105
109年 3月底,8131525,1561,31612,15692,96104,69936,6696272,233141,140556,92585,,894251,42480,24782,1842,2162,2882,3138,56144
109年 4月底,8130496,1553,31514,15616,95991,69956,6695235,232620,139784,92836,,894661,42694,24764,1834,2157,2873,3133,56275
109年 5月底,8140679,1558,31417,15544,96104,70048,6703801,232173,139359,92814,,896090,43022,24941,1847,2166,2868,3128,56457
109年 6月底,8152288,1565,31362,15516,96121,70186,6713407,233121,140215,92906,,896503,43431,25125,1839,2162,2863,3123,56605
109年 7月底,8161180,1574,31338,15487,96380,70290,6721643,233487,140383,93104,,896427,43298,25030,1843,2153,2861,3111,56775
109年 8月底,8166951,1571,31257,15420,96418,70338,6726803,234110,140999,93111,,896520,43156,24932,1855,2141,2855,3107,56820
109年 9月底,8178242,1560,31220,15406,96601,70550,6735847,234795,141723,93072,,897335,43387,25168,1869,2131,2854,3092,57001
109年 10月底,8190643,1564,31134,15372,96634,70619,6746466,235328,142402,92926,,897957,43672,25425,1865,2134,2858,3228,57184
109年 11月底,8203074,1554,31075,15317,96682,70687,6757738,235555,142687,92868,,898442,43826,25604,1863,2122,2863,3301,57366
109年 12月底,8193237,1553,30968,15186,96660,70647,6749381,235369,142764,92605,,896872,44144,25901,1857,2132,2884,3371,57399
110年 1月底,8211069,1552,30911,15149,96756,70891,6764172,236703,144031,92672,,897918,44500,26173,1856,2136,2882,3284,57508
110年 2月底,8222171,1553,30905,15136,96798,70958,6774033,236990,144242,92748,,898528,44579,26222,1858,2137,2888,3261,57683
110年 3月底,8240698,1548,30886,15173,96846,71136,6789143,238285,145208,93077,,899990,44795,26433,1859,2124,2876,3226,57984
110年 4月底,8253208,1547,30880,15182,96875,71399,6798263,239664,146335,93329,,901301,45107,26673,1852,2130,2870,3219,58101
110年 5月底,8257801,1540,30845,15134,96989,71666,6801044,240347,147169,93178,,901766,45415,26847,1857,2139,2859,3210,58124
110年 6月底,8262226,1540,30773,15088,97125,71887,6805119,239834,146926,92908,,902264,45651,26848,1853,2140,2860,3202,57978
110年 7月底,8274017,1545,30723,15038,97235,72191,6815583,239465,146876,92350,239,903173,45980,26935,1857,2156,2858,3191,58060
110年 8月底,8281602,1542,30666,14986,97228,72371,6822566,239291,147083,91968,240,903249,46310,27059,1874,2164,2855,3187,58299
110年 9月底,8298452,1536,30607,14959,97320,72642,6836238,240207,148128,91839,240,904597,46644,27136,1872,2165,2855,3235,58534
110年 10月底,8308139,1538,30536,14920,97445,72839,6844640,240309,148318,91755,236,905133,46924,27268,1869,2171,2901,3229,58605
110年 11月底,8320305,1538,30474,14898,97557,72956,6854604,240885,149027,91619,239,905800,47325,27482,1853,2201,2925,3349,58838
110年 12月底,8330774,1533,30403,14842,97723,73110,6862695,241339,149662,91426,251,906451,48342,28055,1847,2239,2943,3415,58734
111年 1月底,8344809,1533,30387,14823,97917,73190,6875262,242431,150720,91460,251,906821,48377,27923,1843,2221,2929,3328,58570
111年 2月底,8351785,1531,30400,14802,97759,73550,6880598,242841,151216,91376,249,907602,48599,28127,1843,2218,2925,3303,58616
111年 3月底,8360344,1536,30362,14823,97078,74405,6887341,243176,151750,91177,249,908578,48911,28228,1839,2209,2901,3292,58716
111年 4月底,8366113,1532,30309,14772,96703,74922,6890668,244107,152748,91104,255,909587,49223,28365,1840,2200,2885,3277,58860
111年 5月底,8373641,1538,30175,14693,96604,75289,6896486,244119,152956,90908,255,910740,49547,28475,1842,2199,2873,3275,58954
