變數名稱,變數內容,問題屬性,數值內容
調查年度,char(3),開放題,
半年註記,tinyint,開放題,請參閱A28~B29
,,,
,,,
地區別,char(2) ,開放題,請參閱A32~B35
,,,
商品編號,char(3),開放題,請參閱A38~B150
,,,
裝貨地點,char(4),開放題,請參閱A153~B510
,,,
卸貨地點,char(4),開放題,請參閱A153~B510
,,,
單程區間公里數,integer,開放題,
行車次數,integer,開放題,
載貨重量,numeric,開放題,
運費,integer,開放題,
商品來源別,integer,開放題,請參閱A513~B516
,,,
10呎貨櫃數,integer,開放題,
20呎貨櫃數,integer,開放題,
35呎貨櫃數,integer,開放題,
40呎貨櫃數,integer,開放題,
其他呎數貨櫃數,integer,開放題,
貨櫃當量,numeric,開放題,
平均每公升可行駛里程數,,開放題,請參閱A521~B530
載送低溫商品車輛數,,開放題,
靠行車車輛數,,開放題,
1511,花蓮縣秀林鄉,,
1512,花蓮縣萬榮鄉,,
1513,花蓮縣卓溪鄉,,
1601,澎湖縣馬公市,,
1602,澎湖縣湖西鄉,,
1603,澎湖縣白沙鄉,,
1604,澎湖縣西嶼鄉,,
1605,澎湖縣望安鄉,,
1606,澎湖縣七美鄉,,
1701,基隆市中正區,,
1702,基隆市七堵區,,
1703,基隆市暖暖區,,
1704,基隆市仁愛區,,
1705,基隆市中山區,,
1706,基隆市安樂區,,
1707,基隆市信義區,,
1801,新竹市東區,,
1802,新竹市北區,,
1803,新竹市香山區,,
2001,嘉義市東區,,
2002,嘉義市西區,,
6301,臺北市松山區,,
6302,臺北市信義區,,
6303,臺北市大安區,,
6304,臺北市中山區,,
6305,臺北市中正區,,
6306,臺北市大同區,,
6307,臺北市萬華區,,
6308,臺北市文山區,,
6309,臺北市南港區,,
6310,臺北市內湖區,,
6311,臺北市士林區,,
6312,臺北市北投區,,
6401,高雄市鹽埕區,,
6402,高雄市鼓山區,,
6403,高雄市左營區,,
6404,高雄市楠梓區,,
6405,高雄市三民區,,
6406,高雄市新興區,,
6407,高雄市前金區,,
6408,高雄市苓雅區,,
6409,高雄市前鎮區,,
6410,高雄市旗津區,,
6411,高雄市小港區,,
6412,高雄市鳳山區,,
6413,高雄市林園區,,
6414,高雄市大寮區,,
6415,高雄市大樹區,,
6416,高雄市大社區,,
6417,高雄市仁武區,,
6418,高雄市鳥松區,,
6419,高雄市岡山區,,
6420,高雄市橋頭區,,
6421,高雄市燕巢區,,
6422,高雄市田寮區,,
6423,高雄市阿蓮區,,
6424,高雄市路竹區,,
6425,高雄市湖內區,,
6426,高雄市茄萣區,,
6427,高雄市永安區,,
6428,高雄市彌陀區,,
6429,高雄市梓官區,,
6430,高雄市旗山區,,
6431,高雄市美濃區,,
6432,高雄市六龜區,,
6433,高雄市甲仙區,,
6434,高雄市杉林區,,
6435,高雄市內門區,,
6436,高雄市茂林區,,
6437,高雄市桃源區,,
6438,高雄市那瑪夏區,,
6501,新北市板橋區,,
6502,新北市三重區,,
6503,新北市中和區,,
6504,新北市永和區,,
6505,新北市新莊區,,
6506,新北市新店區,,
6507,新北市樹林區,,
6508,新北市鶯歌區,,
6509,新北市三峽區,,
6510,新北市淡水區,,
6511,新北市汐止區,,
6512,新北市瑞芳區,,
6513,新北市土城區,,
6514,新北市蘆州區,,
6515,新北市五股區,,
6516,新北市泰山區,,
6517,新北市林口區,,
6518,新北市深坑區,,
6519,新北市石碇區,,
6520,新北市坪林區,,
6521,新北市三芝區,,
6522,新北市石門區,,
6523,新北市八里區,,
6524,新北市平溪區,,
6525,新北市雙溪區,,
6526,新北市貢寮區,,
6527,新北市金山區,,
6528,新北市萬里區,,
6529,新北市烏來區,,
6601,臺中市中區,,
6602,臺中市東區,,
6603,臺中市南區,,
6604,臺中市西區,,
6605,臺中市北區,,
6606,臺中市西屯區,,
6607,臺中市南屯區,,
6608,臺中市北屯區,,
6609,臺中市豐原區,,
6610,臺中市東勢區,,
6611,臺中市大甲區,,
6612,臺中市清水區,,
6613,臺中市沙鹿區,,
6614,臺中市梧棲區,,
6615,臺中市后里區,,
6616,臺中市神岡區,,
6617,臺中市潭子區,,
6618,臺中市大雅區,,
6619,臺中市新社區,,
6620,臺中市石岡區,,
6621,臺中市外埔區,,
6622,臺中市大安區,,
6623,臺中市烏日區,,
6624,臺中市大肚區,,
6625,臺中市龍井區,,
6626,臺中市霧峰區,,
6627,臺中市太平區,,
6628,臺中市大里區,,
6629,臺中市和平區,,
6701,臺南市新營區,,
6702,臺南市鹽水區,,
6703,臺南市白河區,,
6704,臺南市柳營區,,
6705,臺南市後壁區,,
6706,臺南市東山區,,
6707,臺南市麻豆區,,
6708,臺南市下營區,,
6709,臺南市六甲區,,
6710,臺南市官田區,,
6711,臺南市大內區,,
6712,臺南市佳里區,,
6713,臺南市學甲區,,
6714,臺南市西港區,,
6715,臺南市七股區,,
6716,臺南市將軍區,,
6717,臺南市北門區,,
6718,臺南市新化區,,
6719,臺南市善化區,,
6720,臺南市新市區,,
6721,臺南市安定區,,
6722,臺南市山上區,,
6723,臺南市玉井區,,
6724,臺南市楠西區,,
6725,臺南市南化區,,
6726,臺南市左鎮區,,
6727,臺南市仁德區,,
6728,臺南市歸仁區,,
6729,臺南市關廟區,,
6730,臺南市龍崎區,,
6731,臺南市永康區,,
6732,臺南市東區,,
6733,臺南市南區,,
6734,臺南市北區,,
6735,臺南市安南區,,
6736,臺南市安平區,,
6737,臺南市中西區,,
,,,
商品來源別數值,內容,,
1,進口貨,,
2,出口貨,,
3,轉口貨,,
4,國產內銷貨,,
,,,
平均每公升可行駛里程數,,,
1,未滿1公里,,
2,1-未滿2公里,,
3,2-未滿3公里,,
4,3-未滿4公里,,
5,4-未滿5公里,,
6,5-未滿6公里,,
7,6-未滿7公里,,
8,7-未滿8公里,,
9,8公里以上(請說明       公里),,
