"REPORTINGPRODUCTGROUP","COUNTRY","REPORTINGCHANNEL","Period","Item","BRAND","REGION","BRIDGESTONE TYPE","DIMENSION (Truck Tyres)","RIMDIAMET.'/MM","WIDTH IN INCH","WIDTH IN MM","ASPECT RATIO","TUBE / TUBLESS","LOADINDEX","SPEEDINDEX","FirstActivity","SALES UNITS","SALES <LC>","PRICE TWD/UN."
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","PL909","PRESA","NORTH TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","148","K (-110KM)","FEBRUARY 2017",39.21590137,470590.81646044,12000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","PL909","PRESA","SOUTH TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","148","K (-110KM)","FEBRUARY 2017",128.49472765,1541936.73178625,12000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R115","ROADLUX","CENTRAL TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","UNKNOWN","UNKNOWN","APRIL 2020",71.77774200,645999.67800000,9000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R150","BRIDGESTONE","CENTRAL TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","UNKNOWN","UNKNOWN","OCTOBER 2016",71.09406500,1021776.98470004,14372.18401705
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R150","BRIDGESTONE","NORTH TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","UNKNOWN","UNKNOWN","OCTOBER 2016",336.60000000,4962300.00000000,14742.42424242
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R150","BRIDGESTONE","SOUTH TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","UNKNOWN","UNKNOWN","OCTOBER 2016",314.69159200,4273482.28800000,13579.90615777
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R150","BRIDGESTONE","TAIPEI CITY","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","UNKNOWN","UNKNOWN","OCTOBER 2016",50.00000000,775000.00000000,15500.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R150","BRIDGESTONE","SOUTH TAIWAN","TBR","12.00/22.5","22.5""","12","N.A.","N.A.","TL","152","L (-120KM)","OCTOBER 2016",194.80828000,2355503.50000000,12091.39313791
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R150","BRIDGESTONE","CENTRAL TAIWAN","TBR","295/80/22.5","22.5""","N.A.","295","80","TL","152","M (-130KM)","OCTOBER 2016",289.31750442,3910800.33346683,13517.33052361
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R150","BRIDGESTONE","NORTH TAIWAN","TBR","295/80/22.5","22.5""","N.A.","295","80","TL","152","M (-130KM)","OCTOBER 2016",199.20000000,2523600.00000000,12668.67469880
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R150","BRIDGESTONE","SOUTH TAIWAN","TBR","295/80/22.5","22.5""","N.A.","295","80","TL","152","M (-130KM)","OCTOBER 2016",413.45821600,5134956.80800000,12419.53021923
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R156","BRIDGESTONE","TAIPEI CITY","TBR","295/80/22.5","22.5""","N.A.","295","80","TL","152","M (-130KM)","OCTOBER 2016",421.00000000,5052000.00000000,12000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R156","BRIDGESTONE","TAIPEI CITY","LSR2","215/75/17.5","17.5'","N.A.","215","75","TL","126","M (-130KM)","OCTOBER 2016",98.00000000,666400.00000000,6800.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R156","BRIDGESTONE","NORTH TAIWAN","TBR","10.00/20","20'","10","N.A.","N.A.","TL","147","K (-110KM)","OCTOBER 2016",48.91210500,635857.36500000,13000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R168","BRIDGESTONE","CENTRAL TAIWAN","TBR","385/65/22.5","22.5""","N.A.","385","65","TL","160","K (-110KM)","OCTOBER 2016",32.42160833,593770.77150002,18314.04430636
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R168","BRIDGESTONE","NORTH TAIWAN","TBR","385/65/22.5","22.5""","N.A.","385","65","TL","160","K (-110KM)","OCTOBER 2016",33.00000000,594000.00000000,18000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R168","BRIDGESTONE","SOUTH TAIWAN","TBR","385/65/22.5","22.5""","N.A.","385","65","TL","160","K (-110KM)","OCTOBER 2016",92.16662400,1520749.29600000,16500.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R192FZ","BRIDGESTONE","NORTH TAIWAN","TBR","275/70/22.5","22.5""","N.A.","275","70","TL","148","J (-100KM)","DECEMBER 2016",55.00000000,715000.00000000,13000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R200","BRIDGESTONE","CENTRAL TAIWAN","EXCLUDED TBR AND LSR2","7.00/16","16'","7","N.A.","N.A.","TL","UNKNOWN","UNKNOWN","OCTOBER 2016",217.84329300,845670.00396669,3882.01074415
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R200","BRIDGESTONE","NORTH TAIWAN","EXCLUDED TBR AND LSR2","7.00/16","16'","7","N.A.","N.A.","TL","UNKNOWN","UNKNOWN","OCTOBER 2016",408.20000000,1565100.00000000,3834.14992651
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R200","BRIDGESTONE","SOUTH TAIWAN","EXCLUDED TBR AND LSR2","7.00/16","16'","7","N.A.","N.A.","TL","UNKNOWN","UNKNOWN","OCTOBER 2016",270.80000000,988120.00000000,3648.89217134
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R200","BRIDGESTONE","CENTRAL TAIWAN","EXCLUDED TBR AND LSR2","7.00/15","15'","7","N.A.","N.A.","TL","UNKNOWN","J (-100KM)","OCTOBER 2016",177.51655817,703072.02123335,3960.59966740
